7	6	2	17	6	9	16	17	14	16	14	20	10	9	15
6	10	10	13	3	17	11	14	10	9	20	9	13	19	4
9	10	5	2	11	13	6	15	9	13	7	3	14	14	5
12	13	4	13	3	16	10	18	7	11	9	6	8	10	6
7	13	20	11	10	4	5	8	10	16	4	16	8	15	17
10	19	6	17	5	18	15	8	13	10	14	10	12	12	12
15	6	11	16	15	8	5	9	18	5	17	10	4	18	16
19	18	6	9	20	17	5	8	19	18	2	13	3	15	7
11	16	11	11	14	20	19	14	12	10	7	14	6	11	5
18	16	18	13	16	20	13	5	4	9	4	2	5	20	5
12	7	16	10	3	13	18	15	14	4	3	17	15	13	18
20	2	18	17	2	3	13	10	6	14	9	8	8	10	9
20	16	15	15	12	17	9	11	12	19	11	15	8	16	6
14	20	5	15	5	4	8	8	2	20	13	20	20	3	17
16	16	14	15	9	9	14	20	18	12	18	10	3	14	20
4	3	10	13	3	13	5	8	11	7	14	5	4	10	6
11	8	10	20	13	5	20	5	13	4	2	13	5	15	14
9	17	9	3	9	3	13	18	17	11	20	18	8	13	5
19	10	3	19	9	13	16	3	16	2	10	9	17	15	2
14	3	18	15	15	3	3	18	3	9	7	10	14	3	18
15	13	14	18	11	10	3	6	19	3	11	20	7	15	16
5	7	12	17	16	5	6	14	10	20	4	13	2	12	18
18	2	5	12	8	8	17	20	11	14	17	2	12	13	5
16	12	10	20	15	8	7	16	8	13	17	15	12	9	12
6	17	20	6	10	12	15	14	20	4	20	10	13	2	19
17	14	18	3	18	13	12	14	12	11	10	20	17	20	16
14	10	2	9	11	5	12	4	6	14	13	16	15	14	9
5	7	4	16	12	17	12	7	9	5	18	8	5	18	10
11	7	5	16	2	13	12	16	2	17	16	18	10	14	9
10	13	8	14	11	2	18	15	10	2	20	20	20	13	15
9	20	5	15	18	3	2	6	8	18	9	16	7	13	4
18	14	19	18	14	11	12	19	9	11	15	10	16	19	9
20	13	12	7	5	10	10	12	4	2	17	16	2	10	6
11	9	4	5	15	12	15	19	10	13	7	6	15	15	5
12	2	4	14	9	8	11	16	17	12	5	3	17	5	15
10	10	17	2	4	7	17	12	16	6	4	9	11	13	18
11	18	8	8	18	6	5	18	12	9	15	9	14	7	6
20	6	13	11	3	7	19	12	4	20	9	20	12	2	4
11	16	9	4	14	14	13	8	6	3	3	2	14	16	9
7	4	14	14	13	10	14	8	20	9	2	7	8	6	4
6	14	9	6	16	14	10	3	3	12	6	11	12	16	17
12	12	17	19	14	16	14	14	17	9	3	5	13	12	13
15	3	17	14	19	10	10	16	12	18	14	15	20	17	10
7	5	8	17	5	2	7	8	11	9	12	14	14	13	15
2	9	15	2	12	9	3	5	8	18	6	17	7	7	14
19	15	2	14	17	3	16	7	2	14	9	8	11	19	15
9	14	7	20	10	4	2	3	15	14	11	20	12	4	13
11	16	8	10	14	14	19	20	20	5	17	7	20	12	11
17	14	15	11	18	15	15	5	3	11	17	7	3	2	15
4	18	5	6	6	17	14	6	20	6	14	7	8	18	5
11	17	20	11	19	20	6	14	13	11	8	3	9	4	11
5	19	5	19	18	15	11	17	10	3	19	11	18	7	18
14	11	12	15	19	3	4	8	18	15	9	14	6	6	5
5	7	8	11	11	9	16	5	12	9	12	15	17	6	7
16	16	20	11	3	5	16	5	7	2	18	3	18	9	2
20	7	10	3	7	15	4	20	14	12	10	19	6	11	3
17	3	3	20	5	9	14	12	7	8	15	17	3	6	20
9	13	8	17	15	10	2	5	14	4	17	6	16	11	19
19	14	7	14	11	14	10	6	2	2	9	7	15	18	17
16	13	3	15	15	18	14	4	5	3	19	9	6	18	8
10	6	6	10	6	7	13	19	15	15	20	12	18	7	16
5	9	9	8	19	9	3	13	9	12	2	19	12	18	12
10	9	15	3	17	16	6	11	7	7	4	6	7	18	9
16	20	5	17	14	4	8	17	18	15	10	13	12	8	10
10	6	19	19	7	10	18	13	3	5	9	3	13	9	8
16	14	11	20	11	16	16	14	3	14	4	10	18	7	11
2	3	7	14	5	15	7	15	6	20
