8	13	10	15	9	17	29	3	20	29	19	17	28	5	10
5	27	10	24	3	16	26	24	5	17	12	28	15	23	24
2	15	15	22	13	2	2	12	1	6	17	8	21	12	4
24	4	15	4	21	5	21	13	24	17	22	19	25	20	30
10	19	5	21	25	6	22	26	23	4	30	27	22	14	27
25	2	5	5	15	27	1	25	1	19	20	10	21	29	13
8	14	22	9	27	14	12	17	27	4	27	7	24	12	5
24	28	9	8	14	20	15	8	8	13	30	4	15	26	21
8	13	26	11	23	16	19	5	19	11	4	8	23	4	2
20	29	25	8	4	4	30	10	20	5	12	22	2	21	11
12	2	29	7	21	22	28	23	12	7	3	6	23	17	3
1	26	28	28	11	3	27	29	10	5	23	24	4	9	8
1	10	28	7	1	18	30	30	2	30	19	9	30	28	20
14	24	15	26	21	2	24	11	9	22	7	11	4	25	1
22	19	6	27	3	8	30	7	14	15	2	29	20	30	29
8	14	30	17	27	2	2	8	8	14	12	10	21	28	18
17	6	24	5	23	24	29	7	7	24	9	29	29	20	15
4	15	28	14	29	29	7	20	11	15	30	21	20	12	30
13	26	18	30	25	11	13	19	9	12	3	23	16	25	27
30	26	4	1	8	3	17	3	7	11	30	14	29	14	14
11	1	3	24	3	6	28	17	28	10	10	10	29	15	24
2	9	27	21	28	12	2	11	22	23	2	24	30	26	27
16	15	30	17	3	18	25	20	27	21	18	20	6	22	18
30	28	5	24	30	9	18	4	2	18	24	10	23	19	9
1	11	15	23	26	12	10	27	24	30	1	18	16	28	19
11	11	12	8	2	20	18	7	22	10	14	23	2	16	24
2	9	4	2	25	18	8	25	27	30	10	4	14	20	10
16	23	10	15	13	7	18	21	2	17	23	3	24	24	10
16	11	22	26	26	17	25	29	11	2	8	8	11	1	6
21	19	7	24	25	5	13	5	29	5	25	4	28	30	1
3	7	13	16	29	19	19	27	1	8	30	26	14	29	23
29	16	10	6	27	5	16	4	6	23	27	7	12	16	5
5	9	30	14	11	18	8	5	8	29	5	28	2	28	2
17	13	2	10	11	30	17	25	14	29	6	16	20	6	27
10	4	18	9	3	4	2	28	6	17	4	22	22	28	25
24	24	13	19	28	1	17	19	6	13	29	11	20	24	12
3	13	16	4	25	14	15	13	20	24	17	29	18	12	1
18	25	4	1	10	5	15	13	20	29	15	18	27	22	9
30	28	30	2	16	11	16	26	28	27	29	23	19	22	16
12	9	28	5	11	29	19	5	29	13	20	20	7	19	2
9	13	11	27	14	30	8	30	20	11	2	1	4	30	23
28	4	21	2	15	21	11	23	29	17	1	9	12	18	20
26	29	3	30	23	11	18	22	15	25	15	15	18	4	16
7	13	22	30	24	4	16	11	5	19	5	8	23	5	4
22	16	3	6	15	27	25	6	7	15	12	11	9	9	12
9	16	13	2	9	24	21	1	25	5	24	6	26	29	18
24	22	7	30	21	20	10	27	15	8	28	27	4	3	9
19	1	23	3	25	29	24	1	13	8	21	20	26	23	23
1	1	23	14	11	9	29	19	17	14	6	20	10	11	24
14	23	10	23	20	16	11	24	7	11	16	25	8	3	11
21	2	3	16	17	10	19	20	20	7	16	14	19	11	8
11	20	29	25	26	17	28	19	20	2	11	4	30	10	13
1	10	12	22	12	11	10	24	13	24	4	27	23	12	10
23	12	29	5	28	1	28	8	28	17	11	18	2	6	4
11	18	4	18	26	21	18	16	24	30	26	19	12	18	24
17	26	7	3	11	29	30	18	30	14	27	15	10	30	25
27	21	6	7	28	7	2	12	25	20	16	4	29	27	1
15	30	12	12	1	16	12	8	18	15	1	22	25	24	1
21	30	30	11	20	26	23	14	17	16	29	26	12	4	8
6	22	16	23	18	12	14	5	30	24	5	2	24	21	25
30	10	8	4	13	22	18	5	26	5	10	6	28	17	16
9	12	23	21	14	17	24	20	15	4	11	28	27	20	8
26	12	19	13	6	24	3	24	6	11	16	2	15	19	11
13	20	6	16	3	9	7	2	1	23	7	28	7	18	24
14	19	12	17	1	7	26	8	4	14	19	29	13	15	3
16	8	24	11	22	2	30	8	5	6	3	27	23	13	17
5	29	17	8	16	14	17	6	20	9
